id,text,term,label_id,label,tvt,pred_0,pred_1,pred_2
2970,I did not have to call the support line at all.,support line,1,neutral,train,0.013032708317041397,0.9770305156707764,0.0099368030205369
2338,I take it everywhere with me because it's so easy to carry.,carry,2,positive,train,0.007021148689091206,0.011967376805841923,0.9810113906860352
2674,One drawback I noticed was sound quality via USB.,sound quality via USB,0,negative,train,0.9721618890762329,0.0061450134962797165,0.021693125367164612
3011,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,2,positive,train,0.013200120069086552,0.043205298483371735,0.9435946345329285
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,2,positive,train,0.0076524349860847,0.00714627793058753,0.9852011799812317
1502,"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",gaming,1,neutral,train,0.009652192704379559,0.9831364750862122,0.007211385760456324
112,The screen gets smeary and dusty very quickly and it's very noticeable.,screen,0,negative,train,0.9791131615638733,0.006557666230946779,0.014329182915389538
2203,Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,1,neutral,train,0.006383736152201891,0.973189115524292,0.020427117124199867
2132,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,0,negative,train,0.943592369556427,0.007435804698616266,0.04897176846861839
246,Very fast boot up and shut down.,shut down,2,positive,train,0.003938573878258467,0.005296274553984404,0.9907652139663696
3076,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,1,neutral,train,0.015607055276632309,0.9789777994155884,0.005415205843746662
2575,"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",touchpad,0,negative,train,0.9636790156364441,0.023715374991297722,0.012605655938386917
547,It has a faster processor and more ram.,processor,2,positive,train,0.004096810705959797,0.005411576945334673,0.9904916882514954
2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",programs,1,neutral,train,0.006577181164175272,0.9831190705299377,0.01030371617525816
2768,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,1,neutral,train,0.011090708896517754,0.9275927543640137,0.061316534876823425
2978,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,1,neutral,train,0.2244131714105606,0.7272438406944275,0.048343028873205185
2463,It works exactly like it did the day I took it out of the box.,works,2,positive,train,0.004175044130533934,0.0053563048131763935,0.9904686808586121
2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,2,positive,train,0.011040297336876392,0.031042812392115593,0.9579169154167175
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,2,positive,train,0.007617739494889975,0.00547669967636466,0.9869056344032288
207,Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.,keyboard shortcuts,2,positive,train,0.013394145295023918,0.16224661469459534,0.8243591785430908
2824,"Simple to use, and great graphics.",graphics,2,positive,train,0.0037908514495939016,0.006915369536727667,0.9892938137054443
713,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",techs,2,positive,train,0.005786299239844084,0.012632986530661583,0.9815806746482849
2709,Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,0,negative,train,0.9682745933532715,0.02430262789130211,0.007422828581184149
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,2,positive,train,0.008466008119285107,0.007350255735218525,0.9841837882995605
1048,"-Bluetooth (2.1), Fingerprint Reader, Full 1920x1080 screen -Integrated Mic/Webcam* -Dual touchpad mode is interesting, and easy to use -5 USB ports -Runs about 38-41C on idle, Up to 65 (for me) on load -Very quiet -I could go on and on.",Bluetooth,1,neutral,train,0.009521741420030594,0.6018245220184326,0.3886537253856659
1985,"From the get-go, the M6809 was unsteady in its operation;",operation,0,negative,train,0.9681267142295837,0.01042988896369934,0.021443380042910576
2388,Really like the textured surface which shows no fingerprints.,surface,2,positive,train,0.0044007268734276295,0.004514514468610287,0.9910847544670105
634,I respond that I do not have the old computer and this way I would lose the data on my hard drive.,hard drive,0,negative,train,0.9453707337379456,0.046990767121315,0.007638462353497744
961,  This time the mouse pad and right click key wouldn't work!,mouse pad,0,negative,train,0.9797905683517456,0.008365866728127003,0.011843672953546047
220,"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,0,negative,train,0.8529031872749329,0.012876592576503754,0.13422027230262756
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,0,negative,train,0.9684564471244812,0.01672634854912758,0.014817150309681892
3048,"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",staff,0,negative,train,0.9331050515174866,0.05271861329674721,0.014176278375089169
2728,defective software.,software,0,negative,train,0.9804220795631409,0.006323039066046476,0.01325487345457077
2731,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,Touchpad,0,negative,train,0.9796305894851685,0.008078955113887787,0.01229054294526577
2141,"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,2,positive,train,0.005031882785260677,0.005885209888219833,0.989082932472229
648,Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,0,negative,train,0.9415135383605957,0.03302858769893646,0.02545788697898388
2795,At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,0,negative,train,0.9742308855056763,0.01757151074707508,0.008197695016860962
275,"It is short on space, and downloads always had problems being completed, or were said to be 'corrupted'.",downloads,0,negative,train,0.9739897847175598,0.007086800877004862,0.018923403695225716
918, THE MOTHERBOARD IS DEAD !,MOTHERBOARD,0,negative,train,0.9809827208518982,0.008492308668792248,0.010524895042181015
1770,"It has far exceeded my expectations for power, storage, and abilitiy.",storage,2,positive,train,0.0041536190547049046,0.004907074384391308,0.9909392595291138
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,2,positive,train,0.00425842497497797,0.006178742274641991,0.9895628094673157
1436,"I have Vista, so I am unable to install and uninstall  some programs.",install,0,negative,train,0.9784975647926331,0.008715162985026836,0.012787195853888988
745,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",booting,0,negative,train,0.9691684246063232,0.016035014763474464,0.014796582981944084
2973,"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,2,positive,train,0.007423392962664366,0.06771282851696014,0.9248638153076172
