id,text,term,label
100,"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.","3 year warranty,",neutral
1001,But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,BIOS,negative
1008,Ive had to call tech support many times.,tech support,neutral
101,I got assurances from 2 different people that the remaining 10 months of my warranty would transfer to the new computer.,warranty,positive
1012,I had to pay for the shipping!,shipping,negative
1015,The Computer itself is a good product but the repair depot stinks.,repair depot,negative
1018,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",processor,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",memory,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",hard drive,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",web cam,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",screen,positive
102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,positive
1020,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,technician,negative
1021,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,keyboard,negative
1021,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,keyboard functions,negative
1022,As well as having the plug in the computer come loose.,plug,negative
1026,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,AC plug,negative
1028,Or the cursor would show up some place else.,cursor,negative
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative
1030,Also kinda loud when the fan was running.,fan,negative
1036,You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,negative
1036,You have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,negative
1037,"The driver updates don't fix the issue, very frustrating.",driver updates,negative
1038,"Looks nice, but has a horribly cheap feel.",feel,negative
1038,"Looks nice, but has a horribly cheap feel.",Looks,positive
1039,Keyboard is plastic and spongey feeling.,Keyboard,negative
104,Is this partially due to the fact that it is running Windows Vista?,Windows Vista,neutral
1040,Maximum sound isn't nearly as loud as it should be.,Maximum sound,negative
1041,Loaded with bloatware.,bloatware,neutral
1043,Support has been lackluster and now I just want a refund.,Support,negative
1046,I have no idea how this could have even gotten past quality control during production.,quality control,negative
1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",RAM slots,neutral
1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",HDD Bays,neutral
1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",16GB RAM support,neutral
1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",Wireless,positive
