id,text,term,label
1000,"The food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
1000,"The food is good, especially their more basic dishes, and the drinks are delicious.",dishes,positive
1000,"The food is good, especially their more basic dishes, and the drinks are delicious.",drinks,positive
1002,"The view is spectacular, and the food is great.",view,positive
1002,"The view is spectacular, and the food is great.",food,positive
1003,Wonderful strawberry daiquiries as well!,strawberry daiquiries,positive
1006,I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative
1007,They don't walk around with the trays of Dim Sum.,trays of Dim Sum,neutral
1008,"You order from a menu, so you leave feeling like you missed the full experience.",menu,negative
1009,"The service was bad, the food took to forever to come, we sat on the upper level.",service,negative
1009,"The service was bad, the food took to forever to come, we sat on the upper level.",food,negative
1010,And the bill was outragous.,bill,negative
1011,We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,chinese food,positive
1013,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,pig feet ginger simmered in black vinegar,positive
1013,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,positive
1014,The atmosphere is great!!!,atmosphere,positive
1015,A cool place to hang with your friends for a couple of healthy drinks and desserts.,place,positive
1015,A cool place to hang with your friends for a couple of healthy drinks and desserts.,drinks,positive
1015,A cool place to hang with your friends for a couple of healthy drinks and desserts.,desserts,positive
1017,sometimes i get good food and ok service.,food,positive
1017,sometimes i get good food and ok service.,service,neutral
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",service,negative
1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,positive
102,"Emilio, the owner, is often sitting in the front table greeting guests as they come and go.",owner,positive
1021,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,lines,negative
1021,I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,crowds,negative
1022,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",waitress,positive
1022,"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",fried mini buns with the condensed milk and the assorted fruits on beancurd,positive
1023,They've the best desserts and mixed drinks as well as snack foods.,desserts,positive
1023,They've the best desserts and mixed drinks as well as snack foods.,mixed drinks,positive
1023,They've the best desserts and mixed drinks as well as snack foods.,snack foods,positive
1024,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",drink,neutral
1024,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",hong-kong styled milk,positive
1024,"If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).",tea with tapioca pearls (hot),positive
1027,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",bottle of sake,neutral
1027,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",edamames,neutral
1027,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",sushi plat,neutral
1027,"We shared a bottle of sake, an order of edamames, and she had the sushi plate while I had the sashimi.",sashimi,neutral
1028,What generous portions!,portions,positive
1029,I found the variety of the sashimi plate to be satisfying - fresh and yummy.,sashimi plate,positive
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",service,negative
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
1031,"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",atmosphere,positive
1032,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",fish,positive
1032,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,positive
1032,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",Sushi fix,positive
1033,Delivery is fast too.,Delivery,positive
1034,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",service,positive
1034,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",seating,positive
1034,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",Delivery,positive
1034,"Great friendly service, Fast seating, Fast Delivery, Excellent sushi.",sushi,positive
1037,"While the food was excellent, it wasn't cheap (though not extremely expensive either).",food,positive
1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",service,neutral
1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative
1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",meal,negative
1039,"The decor is really blah, and not at all hip or happening.",decor,negative
1040,"So, for good food i'd recommend it, but not for a fun night out.",food,positive
1041,The people in the restaurant were pretty obnoxious and loud.,people,negative
1045,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,positive
1049,Mizu is home to creative and unique rolls not to found anywhere else.,rolls,positive
1050,"Not only is the cuisine the best around, the service has always been attentive and charming.",cuisine,positive
1050,"Not only is the cuisine the best around, the service has always been attentive and charming.",service,positive
1052,Good bagels and good cream cheese.,bagels,positive
1052,Good bagels and good cream cheese.,cream cheese,positive
1054,"But they don't have a toaster, which is strange.",toaster,negative
1055,Great bagels made the old-fashioned way.,bagels,positive
1056,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,appetizing,positive
1056,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive
1057,Drawbacks: service is slow and they don't toast!,service,negative
1059,"delicious bagels, especially when right out of the oven.",bagels,positive
1060,Spreads and toppings are great - though a bit pricey.,Spreads,positive
1060,Spreads and toppings are great - though a bit pricey.,toppings,positive
1061,Service is fast and friendly.,Service,positive
1062,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,negative
1062,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",eggs,negative
1062,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,negative
1065,Nothing fancy but really good food with pretty reasonable price.,food,positive
1065,Nothing fancy but really good food with pretty reasonable price.,price,positive
1066,Other apetizers and food,apetizers,neutral
1066,Other apetizers and food,food,neutral
1067,"Compared to Ess-a, Tal offers a less doughy bagel!",bagel,negative
1069,The cream cheeses are out of this world and I love that coffee!!,cream cheeses,positive
1069,The cream cheeses are out of this world and I love that coffee!!,coffee,positive
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral
1077,"A cheap eat for NYC, but not for dosa.",dosa,negative
1077,"A cheap eat for NYC, but not for dosa.",eat,positive
1078,The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,fillings,neutral
1078,The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,dosa batter,positive
1080,The highly spiced chai tea was great too.,chai tea,positive
1081,"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",cost,negative
