id,text,term,label_id,label,tvt,pred_0,pred_1,pred_2
1909,The entire dining experience was wonderful!,dining experience,2,positive,train,0.0011576456017792225,0.0016461529303342104,0.9971961975097656
2492,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.",steak,2,positive,train,0.0009705942939035594,0.0015881580766290426,0.997441291809082
1894,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,wine,2,positive,train,0.001224433071911335,0.0015188154065981507,0.9972568154335022
2871,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",atmosphere,2,positive,train,0.0011967530008405447,0.0015465881442651153,0.9972566962242126
2449,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,swordfish,2,positive,train,0.000508769357111305,0.005073354579508305,0.9944179058074951
2453,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portions,0,negative,train,0.7461376190185547,0.10441848635673523,0.14944389462471008
2133,"During our meal, the management came over and checked on us and even bought us a round of drinks.",meal,1,neutral,train,0.004069461487233639,0.9281650185585022,0.0677654817700386
1162,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",atmosphere,2,positive,train,0.0035362914204597473,0.0025491921696811914,0.9939145445823669
2663,It is so easy to get a reservation at a top place in NYC with a week's notice.,reservation,2,positive,train,0.0008009807788766921,0.0024396884255111217,0.9967593550682068
2132,"The food, drinks and service are clearly among the best in the city.",drinks,2,positive,train,0.0011642894241958857,0.0016583079705014825,0.9971773624420166
163,"We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.",waitress,0,negative,train,0.9888977408409119,0.007536137942224741,0.0035661309957504272
328,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,1,neutral,train,0.00412982190027833,0.9394125938415527,0.05645754188299179
2366,One of us actually liked the expresso - that's it.,expresso,2,positive,train,0.0010773458052426577,0.001733930199407041,0.9971887469291687
892,Our server checked on us maybe twice during the entire meal.,meal,1,neutral,train,0.0042123631574213505,0.9344895482063293,0.061298150569200516
3417,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.",menu,0,negative,train,0.9743916392326355,0.011439213529229164,0.014169075526297092
3005,we were seated at the sushi bar in front of yasuda.,sushi bar,1,neutral,train,0.0041750892996788025,0.9252326488494873,0.0705922469496727
3410,You must try the shrimp appetizers.,shrimp appetizers,2,positive,train,0.000852284487336874,0.0018282411620020866,0.9973195195198059
1436,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",fish with hot bean source,2,positive,train,0.0005276193842291832,0.0029406126122921705,0.9965317845344543
1013,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,desserts with frog jelly,2,positive,train,0.0007547914865426719,0.002467039041221142,0.9967781901359558
