id,text,term,label_id,label,tvt,pred_0,pred_1,pred_2
2970,I did not have to call the support line at all.,support line,1,neutral,train,0.0011586395557969809,0.9973462820053101,0.0014950737822800875
2338,I take it everywhere with me because it's so easy to carry.,carry,2,positive,train,0.0004036653263028711,0.000521141744684428,0.999075174331665
2674,One drawback I noticed was sound quality via USB.,sound quality via USB,0,negative,train,0.9975709319114685,0.0016115967882797122,0.0008174406830221415
3011,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,2,positive,train,0.0005408669821918011,0.0003859666467178613,0.9990731477737427
76,"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,2,positive,train,0.0004354325064923614,0.0004650805494748056,0.9990994930267334
1502,"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",gaming,1,neutral,train,0.0015278137288987637,0.9971389770507812,0.001333279418759048
112,The screen gets smeary and dusty very quickly and it's very noticeable.,screen,0,negative,train,0.9973078966140747,0.002187883947044611,0.0005041581462137401
2203,Thank you Best Buy for putting my computer together and installing my first software - you guys were GREAT too!,software,1,neutral,train,0.0009072339744307101,0.9970690608024597,0.002023751148954034
2132,The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard.,speakers,0,negative,train,0.9958881735801697,0.0009697199566289783,0.003142175730317831
246,Very fast boot up and shut down.,shut down,2,positive,train,0.0004899621126241982,0.000395591021515429,0.999114453792572
3076,Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos.,Battery,1,neutral,train,0.0011458427179604769,0.9962087869644165,0.002645312575623393
2575,"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16"" laptop does.",touchpad,0,negative,train,0.9963114857673645,0.0029285552445799112,0.0007600589888170362
547,It has a faster processor and more ram.,processor,2,positive,train,0.0004174237255938351,0.0005371647421270609,0.9990454316139221
2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",programs,1,neutral,train,0.0011637056013569236,0.9972236156463623,0.001612739055417478
2768,"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,1,neutral,train,0.0014232645044103265,0.9928234815597534,0.005753206554800272
2978,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,1,neutral,train,0.0016270701307803392,0.9946356415748596,0.003737257793545723
2463,It works exactly like it did the day I took it out of the box.,works,2,positive,train,0.0004970913869328797,0.0005405723350122571,0.99896240234375
2460,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,2,positive,train,0.00048670347314327955,0.00044576317304745317,0.999067485332489
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,2,positive,train,0.00043815874960273504,0.00046084035420790315,0.9991010427474976
207,Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.,keyboard shortcuts,2,positive,train,0.0006231018924154341,0.002894936129450798,0.9964820146560669
2824,"Simple to use, and great graphics.",graphics,2,positive,train,0.0005123539594933391,0.0005872780457139015,0.998900294303894
713,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",techs,2,positive,train,0.00044900592183694243,0.0004273825907148421,0.9991236329078674
2709,Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,0,negative,train,0.9954230189323425,0.004023113287985325,0.0005539594567380846
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,2,positive,train,0.0006583427893929183,0.0009531559189781547,0.9983885288238525
1048,"-Bluetooth (2.1), Fingerprint Reader, Full 1920x1080 screen -Integrated Mic/Webcam* -Dual touchpad mode is interesting, and easy to use -5 USB ports -Runs about 38-41C on idle, Up to 65 (for me) on load -Very quiet -I could go on and on.",Bluetooth,1,neutral,train,0.0011467348085716367,0.9753220081329346,0.023531299084424973
1985,"From the get-go, the M6809 was unsteady in its operation;",operation,0,negative,train,0.9981300234794617,0.001149952644482255,0.0007200015243142843
2388,Really like the textured surface which shows no fingerprints.,surface,2,positive,train,0.0005258157034404576,0.0004386545333545655,0.9990355968475342
634,I respond that I do not have the old computer and this way I would lose the data on my hard drive.,hard drive,0,negative,train,0.8830949664115906,0.11597540974617004,0.0009296308271586895
961,  This time the mouse pad and right click key wouldn't work!,mouse pad,0,negative,train,0.9959959983825684,0.0035228796768933535,0.00048110494390130043
220,"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,0,negative,train,0.9978234767913818,0.0014879979426041245,0.0006885867333039641
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,0,negative,train,0.995783805847168,0.00347451982088387,0.0007416487205773592
3048,"I had the staff telling me older version did not make the fan noise cause it is a ""different"" computer.",staff,0,negative,train,0.9971912503242493,0.0007089314749464393,0.002099818317219615
2728,defective software.,software,0,negative,train,0.9962353110313416,0.002595394616946578,0.0011693714186549187
2731,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.,Touchpad,0,negative,train,0.9977325201034546,0.0017732230480760336,0.0004941425868310034
2141,"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,2,positive,train,0.0004312997334636748,0.0005738054751418531,0.9989948868751526
648,Moral of the story:-Do not buy anything from companies that do not respect their customers.,companies,0,negative,train,0.998162567615509,0.0010158387012779713,0.000821606139652431
