id,text,term,label
1057,Drawbacks: service is slow and they don't toast!,service,negative
109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",lamb chop,positive
109,"I haven't eat a lamb chop as delicious as that, the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,positive
1124,"Our waitress was sweet and accomodating, not overbearing.",waitress,positive
1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dinner,neutral
1159,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",dance floor,positive
1242,But the coconut rice was good.,coconut rice,positive
1273,I love the fact that the pizza tastes so good and is so cheap.,pizza,positive
1293,"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative
134,The food is prepared quickly and efficiently.,food,positive
1471,"A large is $20, and toppings are about $3 each.",toppings,neutral
1548,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative
1579,And really large portions.,portions,positive
1609,Service was quick.,Service,positive
1656,The spicy tuna and salmon are the best we've ever had.,spicy tuna,positive
1656,The spicy tuna and salmon are the best we've ever had.,salmon,positive
1709,"Unfortunately, the food was NOT something to get worked up about.",food,negative
179,"Service was prompt, friendly and great.",Service,positive
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",menu,positive
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,neutral
1884,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral
193,The food is great and reasonably priced.,food,positive
193,The food is great and reasonably priced.,priced,positive
201,"Anyway, the food is good, the price is right and they have a decent wine list.",food,positive
201,"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive
201,"Anyway, the food is good, the price is right and they have a decent wine list.",wine list,positive
2041,The best thing I tasted were the lambc hops.,lambc hops,positive
2077,very good breads as well.,breads,positive
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",turnip cake,negative
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",roast pork buns,negative
2105,"A few tips: skip the turnip cake, roast pork buns and egg custards.",egg custards,negative
2141,"Try the crunchy tuna, it is to die for.",crunchy tuna,positive
2152,The bagels are fabulous.,bagels,positive
2171,The food options rule.,food options,positive
2205,The food is usually good but it certainly isn't a relaxing place to go.,food,positive
2205,The food is usually good but it certainly isn't a relaxing place to go.,place,negative
2211,And the Tom Kha soup was pathetic.,Tom Kha soup,negative
2451,The prices were fantastic.,prices,positive
2507,The food is great and authentic.,food,positive
2708,"The food is fresh, delicious, and reasonably priced.",food,positive
2708,"The food is fresh, delicious, and reasonably priced.",priced,positive
2811,Consistently good Japanese Tapas.,Japanese Tapas,positive
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,sweet lassi,positive
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,lamb chettinad,positive
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,garlic naan,positive
2882,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",dishes,positive
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",lamb sausages,positive
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",sardines with biscuits,positive
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",large whole shrimp,positive
2912,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,positive
3018,"Oh, don't even let me start with how expensive the bills were!",bills,negative
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,positive
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",rice,positive
3020,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",seaweed,positive
3041,"We've only eaten in the restaurant once, but we have ordered many times for dinner.",dinner,neutral
3049,The food was lousy -too sweet or too salty and the portions tiny.,food,negative
3049,The food was lousy -too sweet or too salty and the portions tiny.,portions,negative
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",okra (bindi),positive
3081,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",lamb,positive
3170,"Good spreads, great beverage selections and bagels really tasty.",spreads,positive
3170,"Good spreads, great beverage selections and bagels really tasty.",beverage selections,positive
3170,"Good spreads, great beverage selections and bagels really tasty.",bagels,positive
3188,Went there for an office lunch.,office lunch,neutral
3292,Service is top notch.,Service,positive
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,service,positive
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,food,positive
3315,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
3343,The food now is inconsistent.,food,negative
339,The sushi was awful!,sushi,negative
3440,"Even though its good seafood, the prices are too high.",seafood,positive
3440,"Even though its good seafood, the prices are too high.",prices,negative
3575,"As we were leaving, the couple standing by the door said to another waiter, we're not in a hurry.",waiter,neutral
3681,"The food was very good, a great deal, and the place its self was great.",food,positive
3681,"The food was very good, a great deal, and the place its self was great.",place,positive
628,The server was really cool and served us our food and drinks with a smile.,server,positive
628,The server was really cool and served us our food and drinks with a smile.,served,positive
628,The server was really cool and served us our food and drinks with a smile.,food,neutral
628,The server was really cool and served us our food and drinks with a smile.,drinks,neutral
742,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive
776,The food was great.,food,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",appetizers,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",salads,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,positive
813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive
83,Reasonable prices.,prices,positive
870,"In addition, the food is very good and the prices are reasonable.",food,positive
870,"In addition, the food is very good and the prices are reasonable.",prices,positive
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambiance,positive
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",atmosphere,positive
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",food,negative
882,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,meal,positive
924,With the theater 2 blocks away we had a delicious meal in a beautiful room.,room,positive
